Date,Adj Close,Adj Close - Dow Jones,Adj Close – NASDAQ,Spx – Adj Close,Adj Close IEF,Adj Close SHY,Adj Close TIP,CWSR0000SA0,INDPRO,IR3TIB01USM156N,Brent,Crude Oil,Gold,Natural gas,S&P GSCI
1971-01-01,120.239998,,,,,,,40.1,37.7008,5.09,,,,,
1971-02-01,120.260002,,,,,,,40.2,37.629,4.38,,,,,
1971-03-01,120.169998,,,,,,,40.2,37.5883,3.85,,,,,
1971-04-01,120.190002,,,,,,,40.4,37.7993,4.45,,,,,
1971-05-01,119.43,,,,,,,40.5,37.9911,4.98,,,,,
1971-06-01,119.160004,,,,,,,40.7,38.1505,5.4,,,,,
1971-07-01,118.760002,,,,,,,40.9,38.0397,5.75,,,,,
1971-08-01,116.470001,,,,,,,41,37.819,5.74,,,,,
1971-09-01,114.93,,,,,,,41,38.4336,5.63,,,,,
1971-10-01,114.650002,,,,,,,41.1,38.7213,5.27,,,,,
1971-11-01,114.010002,,,,,,,41.2,38.8856,4.87,,,,,
1971-12-01,111.209999,,,,,,,41.4,39.3345,4.65,,,,,
1972-01-01,109.599998,,,,,,,41.5,40.2751,3.95,,,,,
1972-02-01,108.68,,,,,,,41.6,40.6932,3.61,,,,,
1972-03-01,108.400002,,,,,,,41.7,40.9766,4.08,,,,,
1972-04-01,108.620003,,,,,,,41.7,41.3843,4.6,,,,,
1972-05-01,108.169998,,,,,,,41.8,41.39,4.41,,,,,
1972-06-01,108.510002,,,,,,,41.9,41.4898,4.64,,,,,
1972-07-01,108.760002,,,,,,,42.1,41.4485,4.82,,,,,
1972-08-01,108.959999,,,,,,,42.2,42.0158,4.85,,,,,
1972-09-01,109.389999,,,,,,,42.3,42.3429,5.13,,,,,
1972-10-01,109.900002,,,,,,,42.5,42.8745,5.25,,,,,
1972-11-01,109.849998,,,,,,,42.6,43.3834,5.22,,,,,
1972-12-01,110.139999,,,,,,,42.8,43.8725,5.43,,,,,
1973-01-01,109.010002,,,,,,,43,44.1952,5.81,,,,,
1973-02-01,100.129997,,,,,,,43.2,44.8299,6.34,,,,,
1973-03-01,101.169998,,,,,,,43.6,44.8444,7.05,,,,,
1973-04-01,101.43,,,,,,,43.9,44.7876,7.31,,,,,
1973-05-01,98,,,,,,,44.2,45.0922,7.55,,,,,
1973-06-01,93.879997,,,,,,,44.4,45.1372,8.16,,,,,
1973-07-01,92.910004,,,,,,,44.5,45.3163,9.7,,,,,
1973-08-01,95.769997,,,,,,,45.3,45.2482,10.77,,,,,
